province,province_code,region,population,date,cases,deaths,recovered,tested
Ontario,ON,Central,13448494,2020-01-31,3,0,0,0
British Columbia,BC,West Coast,4648055,2020-01-31,1,0,0,0
Ontario,ON,Central,13448494,2020-02-08,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-02-08,3,0,0,0
Ontario,ON,Central,13448494,2020-02-16,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-02-16,1,0,0,0
Ontario,ON,Central,13448494,2020-02-21,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-02-21,1,0,0,0
Ontario,ON,Central,13448494,2020-02-24,1,0,0,0
British Columbia,BC,West Coast,4648055,2020-02-24,0,0,0,0
Ontario,ON,Central,13448494,2020-02-25,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-02-25,1,0,0,0
Ontario,ON,Central,13448494,2020-02-26,1,0,0,0
British Columbia,BC,West Coast,4648055,2020-02-26,0,0,0,0
Ontario,ON,Central,13448494,2020-02-27,1,0,0,0
British Columbia,BC,West Coast,4648055,2020-02-27,0,0,0,0
Ontario,ON,Central,13448494,2020-02-29,2,0,0,0
British Columbia,BC,West Coast,4648055,2020-02-29,0,0,0,0
Ontario,ON,Central,13448494,2020-03-01,7,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-01,1,0,0,0
Quebec,QC,Central,8164361,2020-03-01,1,0,0,0
Ontario,ON,Central,13448494,2020-03-03,5,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-03,4,0,0,0
Quebec,QC,Central,8164361,2020-03-03,0,0,0,0
Ontario,ON,Central,13448494,2020-03-05,2,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-05,9,0,0,0
Quebec,QC,Central,8164361,2020-03-05,1,0,0,0
Ontario,ON,Central,13448494,2020-03-06,6,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-06,0,0,0,0
Quebec,QC,Central,8164361,2020-03-06,0,0,0,0
Ontario,ON,Central,13448494,2020-03-07,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-07,6,0,0,0
Quebec,QC,Central,8164361,2020-03-07,0,0,0,0
Ontario,ON,Central,13448494,2020-03-08,3,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-08,0,1,0,0
Quebec,QC,Central,8164361,2020-03-08,1,0,0,0
Alberta,AB,Prairies,4067175,2020-03-08,1,0,0,0
Ontario,ON,Central,13448494,2020-03-09,3,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-09,5,0,0,0
Quebec,QC,Central,8164361,2020-03-09,1,0,0,0
Alberta,AB,Prairies,4067175,2020-03-09,6,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-11,0,0,0,4373
Alberta,AB,Prairies,4067175,2020-03-11,0,0,0,1969
Saskatchewan,SK,Prairies,1098352,2020-03-11,0,0,0,204
Manitoba,MB,Prairies,1278365,2020-03-11,0,0,0,352
Ontario,ON,Central,13448494,2020-03-11,8,1,0,3394
Quebec,QC,Central,8164361,2020-03-11,3,0,0,556
New Brunswick,NB,Atlantic,747101,2020-03-11,0,0,0,22
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-11,0,0,0,44
Nova Scotia,NS,Atlantic,923598,2020-03-11,0,0,0,103
Prince Edward Island,PE,Atlantic,142907,2020-03-11,0,0,0,6
Northwest Territories,NT,North,41786,2020-03-11,0,0,0,0
Nunavut,NU,North,35944,2020-03-11,0,0,0,0
Yukon,YT,North,35874,2020-03-11,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-12,7,0,0,822
Alberta,AB,Prairies,4067175,2020-03-12,5,0,0,2140
Saskatchewan,SK,Prairies,1098352,2020-03-12,1,0,0,81
Manitoba,MB,Prairies,1278365,2020-03-12,1,0,0,0
